promise_id,promise_text,topic,keywords,status,progress_score,evidence_summary,last_checked,has_parliamentary_bill,has_enacted_legislation,parliamentary_evidence_count,parliamentary_status,analysis_progress_score
H01,Build 1.5 million new homes within the 2024-2029 parliament.,Housing supply,1.5 million new homes; housebuilding; housing supply; new homes; planning reform,in progress,50,No parliamentary evidence has been found yet. This promise needs to be tracked through housing delivery statistics and government policy updates.,2026-06-10,False,False,0,No Evidence,50
H02,Restore mandatory local housing targets by updating the NPPF immediately after taking office.,Planning reform,mandatory housing targets; NPPF; National Planning Policy Framework; local housing targets; housebuilding targets,implemented,100,Parliamentary evidence indicates that this promise has been enacted through updates to the planning framework.,2026-06-10,False,True,1,Enacted,100
H03,Require all planning authorities to maintain up-to-date Local Plans; strengthen the presumption in favour of development.,Planning reform,local plans; planning authorities; presumption in favour of development; NPPF; planning policy,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,100
H04,"Fund additional planning officers in local authorities, financed through a higher stamp duty surcharge on non-UK resident buyers.",Planning capacity,planning officers; local authorities; stamp duty surcharge; non-UK resident buyers; planning capacity,not started,0,No parliamentary evidence has been found yet. This promise needs to be tracked through budget documents and local government funding announcements.,2026-06-10,False,False,0,No Evidence,0
H05,Introduce a brownfield-first planning approach and fast-track approvals for urban brownfield sites.,Brownfield development,brownfield first; brownfield land; urban brownfield sites; fast-track approvals; planning reform,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,100
H06,Introduce 'grey belt' land category within the Green Belt and apply 'golden rules' to ensure community and environmental benefit from any release.,Green Belt reform,grey belt; Green Belt; golden rules; land release; community benefit; environmental benefit,in progress,50,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,50
H07,Deliver the largest increase in social and affordable housing in a generation by strengthening planning obligations and reforming the Affordable Homes Programme.,Social and affordable housing,social housing; affordable housing; Affordable Homes Programme; planning obligations; housing associations,not started,0,"No parliamentary evidence has been found yet. This promise needs to be tracked through budget documents, housing programme reforms, and official housing statistics.",2026-06-10,False,False,0,No Evidence,0
H08,Prioritise new social rented homes and review Right to Buy discounts to protect social housing stock.,Social rented housing,social rented homes; Right to Buy; social housing stock; council housing; housing discounts,not started,0,No parliamentary evidence has been found yet. This promise needs to be tracked through housing policy announcements and legislation on Right to Buy.,2026-06-10,False,False,0,No Evidence,0
H09,Give first-time buyers priority access to new housing developments and restrict bulk sales of new homes to international investors.,First-time buyers,first-time buyers; priority access; new housing developments; bulk sales; international investors,not started,0,No parliamentary evidence has been found yet. This promise needs to be tracked through housing market policy and government announcements.,2026-06-10,False,False,0,No Evidence,0
H10,Launch a permanent mortgage guarantee scheme for first-time buyers with small deposits.,Mortgage support,mortgage guarantee scheme; first-time buyers; small deposits; housing finance; home ownership,not started,0,No parliamentary evidence has been found yet. This promise needs to be tracked through Treasury documents and mortgage policy announcements.,2026-06-10,False,False,0,No Evidence,0
H11,Abolish Section 21 no-fault evictions and extend Awaab's Law to the private rented sector.,Renters' rights,Section 21; no-fault evictions; Awaab's Law; private rented sector; renters rights,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,100
H12,Give renters a legal right to challenge unreasonable rent increases.,Renters' rights,rent increases; unreasonable rent; legal right to challenge; renters rights; private rented sector,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,100
H13,Enact Law Commission leasehold reforms; ban new leasehold flats and make commonhold the default tenure.,Leasehold reform,Law Commission leasehold reforms; leasehold flats; commonhold; default tenure; leasehold reform,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,100
H14,Cap or ban unaffordable ground rents and end unfair 'fleecehold' maintenance charges on private estates.,Leasehold and estate charges,ground rents; fleecehold; maintenance charges; private estates; leasehold reform,implemented,100,Parliamentary evidence indicates that this promise has a parliamentary bill and enacted legislation.,2026-06-10,True,True,2,Enacted,100
H15,Develop a cross-government homelessness strategy with Mayors and Councils to end homelessness.,Homelessness,homelessness strategy; cross-government strategy; Mayors; Councils; rough sleeping; homelessness prevention,in progress,50,No parliamentary evidence has been found yet. This promise needs to be tracked through government strategy documents and local authority policy updates.,2026-06-10,False,False,0,No Evidence,50
H16,"Accelerate cladding remediation and ensure building safety costs fall on developers, not leaseholders.",Building safety,cladding remediation; building safety; developers; leaseholders; remediation costs,not started,0,"No parliamentary evidence has been found yet. This promise needs to be tracked through building safety announcements, funding schemes, and remediation statistics.",2026-06-10,False,False,0,No Evidence,0
H17,Require Combined and Mayoral Authorities to produce strategic housing growth plans and give them new planning powers.,Devolution and housing powers,Combined Authorities; Mayoral Authorities; strategic housing growth plans; planning powers; devolution,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,100
H18,"Reform compulsory purchase rules so landowners receive fair value, not inflated hope value, enabling faster land assembly for housing.",Land and compulsory purchase,compulsory purchase; fair value; hope value; land assembly; housing development,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,100
